Date,USD_CAD,SH_Com,WTI_Oil,S&P_Financial,S&P_Industrial,S&P_Info&Tech,US_Gov,CAN_Gov
2008-11-04,-0.0263,-0.0076,0.1036,0.0053,0.055,0.036,-0.046,-0.0129
2008-11-05,0.0144,0.0316,-0.0742,-0.0146,-0.0494,-0.055,-0.0075,-0.0019
2008-11-06,0.0218,-0.0244,-0.0694,0.0138,-0.0645,-0.0544,-0.0035,-0.0016
2008-11-07,-0.0032,0.0175,0.0044,-0.0121,0.026,0.0257,0.0276,-0.0064
2008-11-10,0.0079,0.0727,0.0224,0.0153,-0.0024,-0.0194,-0.009,-0.0003
2008-11-11,0.0058,-0.0166,-0.0494,0.0062,-0.0262,-0.0205,-0.009,-0.0003
2008-11-12,0.025,0.0084,-0.0534,-0.0031,-0.0528,-0.0509,-0.0274,-0.0164
2008-11-13,-0.0181,0.0368,0.037,-0.0039,0.0574,0.0607,0.0547,0.0249
2008-11-14,0.0126,0.0305,-0.0206,0.0026,-0.0455,-0.0486,-0.0324,-0.0294
2008-11-17,-0.0039,0.0222,-0.0366,-0.0089,-0.0179,-0.0291,-0.0196,-0.0184
2008-11-18,0.0038,-0.0631,-0.0102,-0.0086,0.0055,0.0192,-0.0353,-0.0067
2008-11-19,0.021,0.0605,-0.0142,0.0085,-0.0703,-0.0582,-0.0544,-0.0118
2008-11-20,0.0318,-0.0167,-0.0746,-0.0142,-0.0581,-0.0467,-0.0986,-0.0411
2008-11-21,-0.0147,-0.0072,0.0062,0.0009,0.0684,0.0578,0.0715,0.0319
2008-11-24,-0.0351,-0.0367,0.0915,0.0057,0.0498,0.0605,0.0329,0.0104
2008-11-25,-0.0038,-0.0044,-0.0684,0.0088,0.014,-0.0153,-0.0655,-0.0308
2008-11-26,0.0015,0.0049,0.0723,-0.0159,0.028,0.042,-0.0392,-0.0088
2008-11-27,0.0039,0.0105,0.0723,-0.0261,0.028,0.042,0.0054,-0.0036
2008-11-28,0.003,-0.0244,-0.0002,0.02,0.027,-0.0022,-0.0283,-0.0089
2008-12-01,0.0066,0.0125,-0.0946,0,-0.085,-0.0751,-0.0654,-0.0512
2008-12-02,0.0068,-0.0026,-0.0471,0.0143,0.0501,0.0341,-0.0132,-0.0003
2008-12-03,0.0002,0.0401,-0.0036,0.0175,0.0233,0.027,-0.0134,0
2008-12-04,0.02,0.0184,-0.0667,0,-0.0267,-0.0415,-0.0391,-0.0317
